"","iter","estimate","priorSD","grouping","bayestype","parameter","est.type","priortype","type"
"1","1",0.4657,"0.1","G1","post","b0","bias","informative","bayes.est"
"2","1",0.9628,"0.1","G1","post","b1","bias","informative","bayes.est"
"3","1",-4.7969,"0.1","G1","post","b0","coef","informative","bayes.est"
"4","1",0.1786,"0.1","G1","post","b1","coef","informative","bayes.est"
"5","1",0.0895,"0.1","G2","post","b0","bias","informative","bayes.est"
"6","1",0.1914,"0.1","G2","post","b1","bias","informative","bayes.est"
"7","1",-4.8724,"0.1","G2","post","b0","coef","informative","bayes.est"
"8","1",0.1079,"0.1","G2","post","b1","coef","informative","bayes.est"
"9","1",-0.1671,"0.1","G3","post","b0","bias","informative","bayes.est"
"10","1",-0.2834,"0.1","G3","post","b1","bias","informative","bayes.est"
"11","1",-4.9419,"0.1","G3","post","b0","coef","informative","bayes.est"
"12","1",0.1146,"0.1","G3","post","b1","coef","informative","bayes.est"
"13","1",0.0467,"0.1","G4","post","b0","bias","informative","bayes.est"
"14","1",0.0937,"0.1","G4","post","b1","bias","informative","bayes.est"
"15","1",-4.9023,"0.1","G4","post","b0","coef","informative","bayes.est"
"16","1",0.1013,"0.1","G4","post","b1","coef","informative","bayes.est"
"17","1",-0.0094,"0.1","pi","post","pi","bias","informative","bayes.est"
"18","1",0.7154,"0.1","pi","post","pi","coef","informative","bayes.est"
"19","1",-4.9005,"0.1",NA,"prior","b0","coef","informative","bayes.est"
"20","1",0.2742,"0.1",NA,"prior","b1","coef","informative","bayes.est"
"21","1",1.7433,"0.2","G1","post","b0","bias","informative","bayes.est"
"22","1",3.0795,"0.2","G1","post","b1","bias","informative","bayes.est"
"23","1",-8.9781,"0.2","G1","post","b0","coef","informative","bayes.est"
"24","1",0.3711,"0.2","G1","post","b1","coef","informative","bayes.est"
"25","1",1.0198,"0.2","G2","post","b0","bias","informative","bayes.est"
"26","1",1.8018,"0.2","G2","post","b1","bias","informative","bayes.est"
"27","1",-9.0331,"0.2","G2","post","b0","coef","informative","bayes.est"
"28","1",0.2537,"0.2","G2","post","b1","coef","informative","bayes.est"
"29","1",0.6047,"0.2","G3","post","b0","bias","informative","bayes.est"
"30","1",0.8845,"0.2","G3","post","b1","bias","informative","bayes.est"
"31","1",-9.5211,"0.2","G3","post","b0","coef","informative","bayes.est"
"32","1",0.3014,"0.2","G3","post","b1","coef","informative","bayes.est"
"33","1",1.0321,"0.2","G4","post","b0","bias","informative","bayes.est"
"34","1",1.6576,"0.2","G4","post","b1","bias","informative","bayes.est"
"35","1",-9.5172,"0.2","G4","post","b0","coef","informative","bayes.est"
"36","1",0.2462,"0.2","G4","post","b1","coef","informative","bayes.est"
"37","1",-0.0154,"0.2","pi","post","pi","bias","informative","bayes.est"
"38","1",0.711,"0.2","pi","post","pi","coef","informative","bayes.est"
"39","1",-9.7131,"0.2",NA,"prior","b0","coef","informative","bayes.est"
"40","1",0.0288,"0.2",NA,"prior","b1","coef","informative","bayes.est"
"41","1",0.915,"0.3","G1","post","b0","bias","informative","bayes.est"
"42","1",1.7474,"0.3","G1","post","b1","bias","informative","bayes.est"
"43","1",-6.2673,"0.3","G1","post","b0","coef","informative","bayes.est"
"44","1",0.2499,"0.3","G1","post","b1","coef","informative","bayes.est"
"45","1",0.4635,"0.3","G2","post","b0","bias","informative","bayes.est"
"46","1",0.8912,"0.3","G2","post","b1","bias","informative","bayes.est"
"47","1",-6.545,"0.3","G2","post","b0","coef","informative","bayes.est"
"48","1",0.1712,"0.3","G2","post","b1","coef","informative","bayes.est"
"49","1",0.2457,"0.3","G3","post","b0","bias","informative","bayes.est"
"50","1",0.3742,"0.3","G3","post","b1","bias","informative","bayes.est"
"51","1",-7.3911,"0.3","G3","post","b0","coef","informative","bayes.est"
"52","1",0.2198,"0.3","G3","post","b1","coef","informative","bayes.est"
"53","1",0.5589,"0.3","G4","post","b0","bias","informative","bayes.est"
"54","1",0.9452,"0.3","G4","post","b1","bias","informative","bayes.est"
"55","1",-7.301,"0.3","G4","post","b0","coef","informative","bayes.est"
"56","1",0.1802,"0.3","G4","post","b1","coef","informative","bayes.est"
"57","1",-0.0117,"0.3","pi","post","pi","bias","informative","bayes.est"
"58","1",0.7137,"0.3","pi","post","pi","coef","informative","bayes.est"
"59","1",-7.6404,"0.3",NA,"prior","b0","coef","informative","bayes.est"
"60","1",0.1683,"0.3",NA,"prior","b1","coef","informative","bayes.est"
"61","1",0.5911,"0.4","G1","post","b0","bias","informative","bayes.est"
"62","1",1.178,"0.4","G1","post","b1","bias","informative","bayes.est"
"63","1",-5.2071,"0.4","G1","post","b0","coef","informative","bayes.est"
"64","1",0.1981,"0.4","G1","post","b1","coef","informative","bayes.est"
"65","1",0.287,"0.4","G2","post","b0","bias","informative","bayes.est"
"66","1",0.5705,"0.4","G2","post","b1","bias","informative","bayes.est"
"67","1",-5.7556,"0.4","G2","post","b0","coef","informative","bayes.est"
"68","1",0.1422,"0.4","G2","post","b1","coef","informative","bayes.est"
"69","1",0.1586,"0.4","G3","post","b0","bias","informative","bayes.est"
"70","1",0.2429,"0.4","G3","post","b1","bias","informative","bayes.est"
"71","1",-6.8742,"0.4","G3","post","b0","coef","informative","bayes.est"
"72","1",0.1988,"0.4","G3","post","b1","coef","informative","bayes.est"
"73","1",0.4244,"0.4","G4","post","b0","bias","informative","bayes.est"
"74","1",0.728,"0.4","G4","post","b1","bias","informative","bayes.est"
"75","1",-6.6713,"0.4","G4","post","b0","coef","informative","bayes.est"
"76","1",0.1601,"0.4","G4","post","b1","coef","informative","bayes.est"
"77","1",-0.0107,"0.4","pi","post","pi","bias","informative","bayes.est"
"78","1",0.7144,"0.4","pi","post","pi","coef","informative","bayes.est"
"79","1",-7.1875,"0.4",NA,"prior","b0","coef","informative","bayes.est"
"80","1",0.1933,"0.4",NA,"prior","b1","coef","informative","bayes.est"
"81","1",0.3578,"0.5","G1","post","b0","bias","informative","bayes.est"
"82","1",0.7401,"0.5","G1","post","b1","bias","informative","bayes.est"
"83","1",-4.4437,"0.5","G1","post","b0","coef","informative","bayes.est"
"84","1",0.1583,"0.5","G1","post","b1","coef","informative","bayes.est"
"85","1",0.1671,"0.5","G2","post","b0","bias","informative","bayes.est"
"86","1",0.3373,"0.5","G2","post","b1","bias","informative","bayes.est"
"87","1",-5.2196,"0.5","G2","post","b0","coef","informative","bayes.est"
"88","1",0.1211,"0.5","G2","post","b1","coef","informative","bayes.est"
"89","1",0.0821,"0.5","G3","post","b0","bias","informative","bayes.est"
"90","1",0.1218,"0.5","G3","post","b1","bias","informative","bayes.est"
"91","1",-6.4201,"0.5","G3","post","b0","coef","informative","bayes.est"
"92","1",0.1794,"0.5","G3","post","b1","coef","informative","bayes.est"
"93","1",0.2923,"0.5","G4","post","b0","bias","informative","bayes.est"
"94","1",0.5089,"0.5","G4","post","b1","bias","informative","bayes.est"
"95","1",-6.0523,"0.5","G4","post","b0","coef","informative","bayes.est"
"96","1",0.1398,"0.5","G4","post","b1","coef","informative","bayes.est"
"97","1",-0.0099,"0.5","pi","post","pi","bias","informative","bayes.est"
"98","1",0.715,"0.5","pi","post","pi","coef","informative","bayes.est"
"99","1",-6.6673,"0.5",NA,"prior","b0","coef","informative","bayes.est"
"100","1",0.5824,"0.5",NA,"prior","b1","coef","informative","bayes.est"
"101","1",0.6646,"0.6","G1","post","b0","bias","informative","bayes.est"
"102","1",1.3101,"0.6","G1","post","b1","bias","informative","bayes.est"
"103","1",-5.4476,"0.6","G1","post","b0","coef","informative","bayes.est"
"104","1",0.2102,"0.6","G1","post","b1","coef","informative","bayes.est"
"105","1",0.3925,"0.6","G2","post","b0","bias","informative","bayes.est"
"106","1",0.7617,"0.6","G2","post","b1","bias","informative","bayes.est"
"107","1",-6.2275,"0.6","G2","post","b0","coef","informative","bayes.est"
"108","1",0.1595,"0.6","G2","post","b1","coef","informative","bayes.est"
"109","1",0.4686,"0.6","G3","post","b0","bias","informative","bayes.est"
"110","1",0.6971,"0.6","G3","post","b1","bias","informative","bayes.est"
"111","1",-8.7137,"0.6","G3","post","b0","coef","informative","bayes.est"
"112","1",0.2715,"0.6","G3","post","b1","coef","informative","bayes.est"
"113","1",0.8311,"0.6","G4","post","b0","bias","informative","bayes.est"
"114","1",1.3624,"0.6","G4","post","b1","bias","informative","bayes.est"
"115","1",-8.5758,"0.6","G4","post","b0","coef","informative","bayes.est"
"116","1",0.2189,"0.6","G4","post","b1","coef","informative","bayes.est"
"117","1",-0.0119,"0.6","pi","post","pi","bias","informative","bayes.est"
"118","1",0.7135,"0.6","pi","post","pi","coef","informative","bayes.est"
"119","1",-10.1677,"0.6",NA,"prior","b0","coef","informative","bayes.est"
"120","1",0.1339,"0.6",NA,"prior","b1","coef","informative","bayes.est"
"121","1",0.7587,"0.7","G1","post","b0","bias","informative","bayes.est"
"122","1",1.4765,"0.7","G1","post","b1","bias","informative","bayes.est"
"123","1",-5.7556,"0.7","G1","post","b0","coef","informative","bayes.est"
"124","1",0.2253,"0.7","G1","post","b1","coef","informative","bayes.est"
"125","1",0.4747,"0.7","G2","post","b0","bias","informative","bayes.est"
"126","1",0.9106,"0.7","G2","post","b1","bias","informative","bayes.est"
"127","1",-6.5952,"0.7","G2","post","b0","coef","informative","bayes.est"
"128","1",0.173,"0.7","G2","post","b1","coef","informative","bayes.est"
"129","1",0.7218,"0.7","G3","post","b0","bias","informative","bayes.est"
"130","1",1.0513,"0.7","G3","post","b1","bias","informative","bayes.est"
"131","1",-10.2159,"0.7","G3","post","b0","coef","informative","bayes.est"
"132","1",0.3281,"0.7","G3","post","b1","coef","informative","bayes.est"
"133","1",1.173,"0.7","G4","post","b0","bias","informative","bayes.est"
"134","1",1.8677,"0.7","G4","post","b1","bias","informative","bayes.est"
"135","1",-10.177,"0.7","G4","post","b0","coef","informative","bayes.est"
"136","1",0.2657,"0.7","G4","post","b1","coef","informative","bayes.est"
"137","1",-0.013,"0.7","pi","post","pi","bias","informative","bayes.est"
"138","1",0.7127,"0.7","pi","post","pi","coef","informative","bayes.est"
"139","1",-12.5861,"0.7",NA,"prior","b0","coef","informative","bayes.est"
"140","1",0.3617,"0.7",NA,"prior","b1","coef","informative","bayes.est"
"141","1",0.2155,"0.8","G1","post","b0","bias","informative","bayes.est"
"142","1",0.4508,"0.8","G1","post","b1","bias","informative","bayes.est"
"143","1",-3.9779,"0.8","G1","post","b0","coef","informative","bayes.est"
"144","1",0.132,"0.8","G1","post","b1","coef","informative","bayes.est"
"145","1",0.1209,"0.8","G2","post","b0","bias","informative","bayes.est"
"146","1",0.2433,"0.8","G2","post","b1","bias","informative","bayes.est"
"147","1",-5.0131,"0.8","G2","post","b0","coef","informative","bayes.est"
"148","1",0.1126,"0.8","G2","post","b1","coef","informative","bayes.est"
"149","1",0.1375,"0.8","G3","post","b0","bias","informative","bayes.est"
"150","1",0.2078,"0.8","G3","post","b1","bias","informative","bayes.est"
"151","1",-6.7488,"0.8","G3","post","b0","coef","informative","bayes.est"
"152","1",0.1932,"0.8","G3","post","b1","coef","informative","bayes.est"
"153","1",0.3141,"0.8","G4","post","b0","bias","informative","bayes.est"
"154","1",0.5415,"0.8","G4","post","b1","bias","informative","bayes.est"
"155","1",-6.1544,"0.8","G4","post","b0","coef","informative","bayes.est"
"156","1",0.1428,"0.8","G4","post","b1","coef","informative","bayes.est"
"157","1",-0.0099,"0.8","pi","post","pi","bias","informative","bayes.est"
"158","1",0.715,"0.8","pi","post","pi","coef","informative","bayes.est"
"159","1",-7.8122,"0.8",NA,"prior","b0","coef","informative","bayes.est"
"160","1",0.1647,"0.8",NA,"prior","b1","coef","informative","bayes.est"
"161","1",0.1665,"0.9","G1","post","b0","bias","informative","bayes.est"
"162","1",0.3494,"0.9","G1","post","b1","bias","informative","bayes.est"
"163","1",-3.8177,"0.9","G1","post","b0","coef","informative","bayes.est"
"164","1",0.1228,"0.9","G1","post","b1","coef","informative","bayes.est"
"165","1",0.0929,"0.9","G2","post","b0","bias","informative","bayes.est"
"166","1",0.1854,"0.9","G2","post","b1","bias","informative","bayes.est"
"167","1",-4.8876,"0.9","G2","post","b0","coef","informative","bayes.est"
"168","1",0.1073,"0.9","G2","post","b1","coef","informative","bayes.est"
"169","1",0.1079,"0.9","G3","post","b0","bias","informative","bayes.est"
"170","1",0.1629,"0.9","G3","post","b1","bias","informative","bayes.est"
"171","1",-6.5737,"0.9","G3","post","b0","coef","informative","bayes.est"
"172","1",0.186,"0.9","G3","post","b1","coef","informative","bayes.est"
"173","1",0.2546,"0.9","G4","post","b0","bias","informative","bayes.est"
"174","1",0.4402,"0.9","G4","post","b1","bias","informative","bayes.est"
"175","1",-5.8761,"0.9","G4","post","b0","coef","informative","bayes.est"
"176","1",0.1334,"0.9","G4","post","b1","coef","informative","bayes.est"
"177","1",-0.0096,"0.9","pi","post","pi","bias","informative","bayes.est"
"178","1",0.7152,"0.9","pi","post","pi","coef","informative","bayes.est"
"179","1",-7.6697,"0.9",NA,"prior","b0","coef","informative","bayes.est"
"180","1",0.3133,"0.9",NA,"prior","b1","coef","informative","bayes.est"
"181","1",0.1799,"1","G1","post","b0","bias","uninformative","bayes.est"
"182","1",0.3772,"1","G1","post","b1","bias","uninformative","bayes.est"
"183","1",-3.8615,"1","G1","post","b0","coef","uninformative","bayes.est"
"184","1",0.1253,"1","G1","post","b1","coef","uninformative","bayes.est"
"185","1",0.1101,"1","G2","post","b0","bias","uninformative","bayes.est"
"186","1",0.2196,"1","G2","post","b1","bias","uninformative","bayes.est"
"187","1",-4.9645,"1","G2","post","b0","coef","uninformative","bayes.est"
"188","1",0.1104,"1","G2","post","b1","coef","uninformative","bayes.est"
"189","1",0.1727,"1","G3","post","b0","bias","uninformative","bayes.est"
"190","1",0.2602,"1","G3","post","b1","bias","uninformative","bayes.est"
"191","1",-6.9578,"1","G3","post","b0","coef","uninformative","bayes.est"
"192","1",0.2016,"1","G3","post","b1","coef","uninformative","bayes.est"
"193","1",0.3374,"1","G4","post","b0","bias","uninformative","bayes.est"
"194","1",0.5791,"1","G4","post","b1","bias","uninformative","bayes.est"
"195","1",-6.2638,"1","G4","post","b0","coef","uninformative","bayes.est"
"196","1",0.1463,"1","G4","post","b1","coef","uninformative","bayes.est"
"197","1",-0.0099,"1","pi","post","pi","bias","uninformative","bayes.est"
"198","1",0.715,"1","pi","post","pi","coef","uninformative","bayes.est"
"199","1",-8.9603,"1",NA,"prior","b0","coef","uninformative","bayes.est"
"200","1",0.1507,"1",NA,"prior","b1","coef","uninformative","bayes.est"
"201","1",0.0126,"10","G1","post","b0","bias","uninformative","bayes.est"
"202","1",0.0116,"10","G1","post","b1","bias","uninformative","bayes.est"
"203","1",-3.3141,"10","G1","post","b0","coef","uninformative","bayes.est"
"204","1",0.092,"10","G1","post","b1","coef","uninformative","bayes.est"
"205","1",0.006,"10","G2","post","b0","bias","uninformative","bayes.est"
"206","1",0.0021,"10","G2","post","b1","bias","uninformative","bayes.est"
"207","1",-4.499,"10","G2","post","b0","coef","uninformative","bayes.est"
"208","1",0.0907,"10","G2","post","b1","coef","uninformative","bayes.est"
"209","1",0.0152,"10","G3","post","b0","bias","uninformative","bayes.est"
"210","1",0.0142,"10","G3","post","b1","bias","uninformative","bayes.est"
"211","1",-6.0234,"10","G3","post","b0","coef","uninformative","bayes.est"
"212","1",0.1622,"10","G3","post","b1","coef","uninformative","bayes.est"
"213","1",0.029,"10","G4","post","b0","bias","uninformative","bayes.est"
"214","1",0.0326,"10","G4","post","b1","bias","uninformative","bayes.est"
"215","1",-4.8192,"10","G4","post","b0","coef","uninformative","bayes.est"
"216","1",0.0957,"10","G4","post","b1","coef","uninformative","bayes.est"
"217","1",-0.0091,"10","pi","post","pi","bias","uninformative","bayes.est"
"218","1",0.7156,"10","pi","post","pi","coef","uninformative","bayes.est"
"219","1",-8.7125,"10",NA,"prior","b0","coef","uninformative","bayes.est"
"220","1",0.3271,"10",NA,"prior","b1","coef","uninformative","bayes.est"
"221","1",0.0591,"2","G1","post","b0","bias","uninformative","bayes.est"
"222","1",0.1154,"2","G1","post","b1","bias","uninformative","bayes.est"
"223","1",-3.4662,"2","G1","post","b0","coef","uninformative","bayes.est"
"224","1",0.1015,"2","G1","post","b1","coef","uninformative","bayes.est"
"225","1",0.0375,"2","G2","post","b0","bias","uninformative","bayes.est"
"226","1",0.0702,"2","G2","post","b1","bias","uninformative","bayes.est"
"227","1",-4.6401,"2","G2","post","b0","coef","uninformative","bayes.est"
"228","1",0.0969,"2","G2","post","b1","coef","uninformative","bayes.est"
"229","1",0.078,"2","G3","post","b0","bias","uninformative","bayes.est"
"230","1",0.1145,"2","G3","post","b1","bias","uninformative","bayes.est"
"231","1",-6.3962,"2","G3","post","b0","coef","uninformative","bayes.est"
"232","1",0.1783,"2","G3","post","b1","coef","uninformative","bayes.est"
"233","1",0.1318,"2","G4","post","b0","bias","uninformative","bayes.est"
"234","1",0.2218,"2","G4","post","b1","bias","uninformative","bayes.est"
"235","1",-5.3009,"2","G4","post","b0","coef","uninformative","bayes.est"
"236","1",0.1132,"2","G4","post","b1","coef","uninformative","bayes.est"
"237","1",-0.0093,"2","pi","post","pi","bias","uninformative","bayes.est"
"238","1",0.7154,"2","pi","post","pi","coef","uninformative","bayes.est"
"239","1",-9.9139,"2",NA,"prior","b0","coef","uninformative","bayes.est"
"240","1",0.2517,"2",NA,"prior","b1","coef","uninformative","bayes.est"
"241","1",0.0171,"3","G1","post","b0","bias","uninformative","bayes.est"
"242","1",0.0223,"3","G1","post","b1","bias","uninformative","bayes.est"
"243","1",-3.3286,"3","G1","post","b0","coef","uninformative","bayes.est"
"244","1",0.093,"3","G1","post","b1","coef","uninformative","bayes.est"
"245","1",0.0064,"3","G2","post","b0","bias","uninformative","bayes.est"
"246","1",0.0012,"3","G2","post","b1","bias","uninformative","bayes.est"
"247","1",-4.5007,"3","G2","post","b0","coef","uninformative","bayes.est"
