"","proportion","turtle.grouping","value","type","prior.type","SD","iter"
"1",0.95,"G1",13.801,"ML.est",NA,NA,NA
"2",0.95,"G2",8.801,"ML.est",NA,NA,NA
"3",0.95,"G3",9.501,"ML.est",NA,NA,NA
"4",0.95,"G4",6.301,"ML.est",NA,NA,NA
"5",0.75,"G1",23.201,"ML.est",NA,NA,NA
"6",0.75,"G2",18.101,"ML.est",NA,NA,NA
"7",0.75,"G3",19.601,"ML.est",NA,NA,NA
"8",0.75,"G4",10.801,"ML.est",NA,NA,NA
"9",0.5,"G1",28.501,"ML.est",NA,NA,NA
"10",0.5,"G2",25.701,"ML.est",NA,NA,NA
"11",0.5,"G3",27.401,"ML.est",NA,NA,NA
"12",0.5,"G4",15.801,"ML.est",NA,NA,NA
"13",0.25,"G1",32.701,"ML.est",NA,NA,NA
"14",0.25,"G2",32.401,"ML.est",NA,NA,NA
"15",0.25,"G3",34.101,"ML.est",NA,NA,NA
"16",0.25,"G4",21.101,"ML.est",NA,NA,NA
"17",0.05,"G1",37.501,"ML.est",NA,NA,NA
"18",0.05,"G2",40.401,"ML.est",NA,NA,NA
"19",0.05,"G3",42.101,"ML.est",NA,NA,NA
"20",0.05,"G4",28.101,"ML.est",NA,NA,NA
"21",0.95,"G1",10.201,"bayes.est","informative",0.1,1
"22",0.95,"G2",10.001,"bayes.est","informative",0.1,1
"23",0.95,"G3",10.201,"bayes.est","informative",0.1,1
"24",0.95,"G4",9.201,"bayes.est","informative",0.1,1
"25",0.75,"G1",20.001,"bayes.est","informative",0.1,1
"26",0.75,"G2",20.001,"bayes.est","informative",0.1,1
"27",0.75,"G3",20.701,"bayes.est","informative",0.1,1
"28",0.75,"G4",16.101,"bayes.est","informative",0.1,1
"29",0.5,"G1",26.701,"bayes.est","informative",0.1,1
"30",0.5,"G2",27.001,"bayes.est","informative",0.1,1
"31",0.5,"G3",28.101,"bayes.est","informative",0.1,1
"32",0.5,"G4",20.501,"bayes.est","informative",0.1,1
"33",0.25,"G1",32.401,"bayes.est","informative",0.1,1
"34",0.25,"G2",33.001,"bayes.est","informative",0.1,1
"35",0.25,"G3",34.401,"bayes.est","informative",0.1,1
"36",0.25,"G4",24.201,"bayes.est","informative",0.1,1
"37",0.05,"G1",38.901,"bayes.est","informative",0.1,1
"38",0.05,"G2",39.801,"bayes.est","informative",0.1,1
"39",0.05,"G3",41.701,"bayes.est","informative",0.1,1
"40",0.05,"G4",28.401,"bayes.est","informative",0.1,1
"41",0.95,"G1",12.001,"bayes.est","informative",0.1,2
"42",0.95,"G2",11.801,"bayes.est","informative",0.1,2
"43",0.95,"G3",12.201,"bayes.est","informative",0.1,2
"44",0.95,"G4",10.501,"bayes.est","informative",0.1,2
"45",0.75,"G1",21.601,"bayes.est","informative",0.1,2
"46",0.75,"G2",21.901,"bayes.est","informative",0.1,2
"47",0.75,"G3",22.801,"bayes.est","informative",0.1,2
"48",0.75,"G4",17.301,"bayes.est","informative",0.1,2
"49",0.5,"G1",27.401,"bayes.est","informative",0.1,2
"50",0.5,"G2",28.201,"bayes.est","informative",0.1,2
"51",0.5,"G3",29.401,"bayes.est","informative",0.1,2
"52",0.5,"G4",21.301,"bayes.est","informative",0.1,2
"53",0.25,"G1",32.101,"bayes.est","informative",0.1,2
"54",0.25,"G2",33.301,"bayes.est","informative",0.1,2
"55",0.25,"G3",34.801,"bayes.est","informative",0.1,2
"56",0.25,"G4",24.601,"bayes.est","informative",0.1,2
"57",0.05,"G1",37.501,"bayes.est","informative",0.1,2
"58",0.05,"G2",39.201,"bayes.est","informative",0.1,2
"59",0.05,"G3",40.901,"bayes.est","informative",0.1,2
"60",0.05,"G4",28.201,"bayes.est","informative",0.1,2
"61",0.95,"G1",13.501,"bayes.est","informative",0.1,3
"62",0.95,"G2",13.301,"bayes.est","informative",0.1,3
"63",0.95,"G3",13.901,"bayes.est","informative",0.1,3
"64",0.95,"G4",11.601,"bayes.est","informative",0.1,3
"65",0.75,"G1",23.101,"bayes.est","informative",0.1,3
"66",0.75,"G2",23.501,"bayes.est","informative",0.1,3
"67",0.75,"G3",24.901,"bayes.est","informative",0.1,3
"68",0.75,"G4",18.501,"bayes.est","informative",0.1,3
