"","proportion","turtle.grouping","value","type","prior.type","SD","iter"
"1",0.95,"G1",0.0108322212938325,"ML.est",NA,NA,NA
"2",0.95,"G2",0.0161122080570582,"ML.est",NA,NA,NA
"3",0.95,"G3",0.0140363865117635,"ML.est",NA,NA,NA
"4",0.95,"G4",0.0426680200734589,"ML.est",NA,NA,NA
"5",0.75,"G1",0.0487111399320429,"ML.est",NA,NA,NA
"6",0.75,"G2",0.0373946184970172,"ML.est",NA,NA,NA
"7",0.75,"G3",0.0357791663241255,"ML.est",NA,NA,NA
"8",0.75,"G4",0.0642589070629041,"ML.est",NA,NA,NA
"9",0.5,"G1",0.113709162371781,"ML.est",NA,NA,NA
"10",0.5,"G2",0.0744167472570874,"ML.est",NA,NA,NA
"11",0.5,"G3",0.0736902752512008,"ML.est",NA,NA,NA
"12",0.5,"G4",0.101247590503254,"ML.est",NA,NA,NA
"13",0.25,"G1",0.222658836131741,"ML.est",NA,NA,NA
"14",0.25,"G2",0.13648228300784,"ML.est",NA,NA,NA
"15",0.25,"G3",0.137129564830974,"ML.est",NA,NA,NA
"16",0.25,"G4",0.163998540191694,"ML.est",NA,NA,NA
"17",0.05,"G1",0.479938810488535,"ML.est",NA,NA,NA
"18",0.05,"G2",0.281582736523279,"ML.est",NA,NA,NA
"19",0.05,"G3",0.287705434811734,"ML.est",NA,NA,NA
"20",0.05,"G4",0.310133714559806,"ML.est",NA,NA,NA
"21",0.95,"G1",0.0129697013642143,"bayes.est","informative",0.1,1
"22",0.95,"G2",0.0131368882086937,"bayes.est","informative",0.1,1
"23",0.95,"G3",0.0125966197145159,"bayes.est","informative",0.1,1
"24",0.95,"G4",0.0174969209230792,"bayes.est","informative",0.1,1
"25",0.75,"G1",0.0400857078054355,"bayes.est","informative",0.1,1
"26",0.75,"G2",0.0387471426030084,"bayes.est","informative",0.1,1
"27",0.75,"G3",0.0367274657564505,"bayes.est","informative",0.1,1
"28",0.75,"G4",0.0602096704776907,"bayes.est","informative",0.1,1
"29",0.5,"G1",0.0866398547158097,"bayes.est","informative",0.1,1
"30",0.5,"G2",0.0826268475794027,"bayes.est","informative",0.1,1
"31",0.5,"G3",0.0780953299923143,"bayes.est","informative",0.1,1
"32",0.5,"G4",0.132405005984887,"bayes.est","informative",0.1,1
"33",0.25,"G1",0.166903071241278,"bayes.est","informative",0.1,1
"34",0.25,"G2",0.158102700753123,"bayes.est","informative",0.1,1
"35",0.25,"G3",0.148376121296887,"bayes.est","informative",0.1,1
"36",0.25,"G4",0.256796051043549,"bayes.est","informative",0.1,1
"37",0.05,"G1",0.352418971230538,"bayes.est","informative",0.1,1
"38",0.05,"G2",0.329711941425777,"bayes.est","informative",0.1,1
"39",0.05,"G3",0.312031771478116,"bayes.est","informative",0.1,1
"40",0.05,"G4",0.54463710576798,"bayes.est","informative",0.1,1
"41",0.95,"G1",0.011530747874193,"bayes.est","informative",0.1,2
"42",0.95,"G2",0.0112447653084666,"bayes.est","informative",0.1,2
"43",0.95,"G3",0.0107391357902005,"bayes.est","informative",0.1,2
